,0,1,2
0,,-16.8565025919,1.18156240181
1,Void Boys,24.2467682621,2.12751794986
2,Denial eSports',22.9738224936,7.36468814378
3,Infamous -_^,16.7689979904,4.83231218111
4,4Hate,18.8038122928,5.72049850684
5,Quantic|Gaming,26.4553625196,2.7928321262
6,Basically Unknown,24.2766046022,4.14149418068
7,Team Archon,25.658493526,1.03025399692
8,Kingdom-,16.4160638766,5.91888576989
9,Storm Games Clan,19.4513417415,5.86801745874
10,Digital Chaos,26.4714106576,1.21767779292
11,Life.,26.1466729962,4.26292188514
12,Danish Bears,30.7200198596,4.95298156732
13,_PowerRangers,28.2990473836,1.70798471128
14,.KungFu,25.5651523308,4.16333408494
15,"Relax, you are doing fine.",19.5789119924,5.90217442966
16,Fumoffu's Throws Fan Club!,28.5263436521,4.7589584796
17,PRIES|G2A.com,19.5665453344,6.40853870892
18,paiN Gaming,16.5494860359,4.6183440384
19,FTD club a,18.0285189678,5.57365066908
20,.Prodota Gaming.,19.5007034551,5.97545443463
21,rebeldes,21.1185679133,6.84122308563
22,iCCup Team,35.1029499855,5.13949486843
23,Cloud9 G2A,28.1126363214,0.859594487365
24,LGD-GAMING,31.0553965794,0.817784910534
25,Burden United,27.3678846215,2.4974094451
26,CNB HyperX,19.3469794923,5.82851540882
27,BGENetwork,21.2619305884,6.6955359885
28,The Balkan Bears,19.1730334677,5.79185620762
29,MVP HOT6,25.6471563546,1.56371345866
30,TeamMalaysia,28.9861892314,1.12126246753
31,zRAGE,19.483325313,5.87589464921
32,Team Dignitas,27.288784421,1.39000883377
33,.PRIES.,26.8043200503,3.31947073205
34,Mamas-Boys,28.7852764276,1.52728928491
35,mYinsanity - sensei,18.4821835076,6.16586837703
36,EHOME,29.7447894136,0.811136733506
37,Union Gaming SA,25.4857956105,3.13850062166
38,Energy eSports,21.2492876333,6.69305206508
39,LV-Gaming,36.0372746528,5.04234300083
40,Yellow Submarine !,18.4852332865,5.3543982754
41,Archon Dota,27.9592576186,2.21842271618
42,GOOMBA Gamingg,24.0534274301,3.6028134671
43,We haz Asian,17.2812420575,5.39341152461
44,Hehe United.,19.1941818106,5.80783568638
45,Lemondogs.Dota2,20.6358741909,6.22253799091
46,Alliance,28.9625255418,0.804838759624
47,Team Vas'Avi,19.667413734,5.890377631
48,(monkey) Business,32.2003604331,1.19672505496
49,3DMAX,25.8514672059,4.10243146352
50,G Guard,20.9070008464,6.62435813163
51,CDEC.Avengers,26.2928984232,3.57847876871
52,BRUDDAHS,33.1245693965,5.93629081333
53,Invictus Gaming,28.7037157866,0.855137976911
54,Moscow Five RUS,25.8045103707,2.17167080903
55,Pool Sorcery Some Tangoes,22.5645431025,7.27736118274
56,MONKEY FREEDOM FIGHTERS,24.2690984063,3.00211486913
57,dignotoss,23.4526509922,7.49143034608
58,Team Alternate Attax,21.9054910323,2.41702450507
59,paiN-Gaming.int,19.4172187894,5.8434452999
60,Not Today !,22.4941659638,1.82183030281
61,Natus Vincere US,23.7642035077,2.91218066654
62,G Guard Esports,17.2616469055,5.56950281178
63,Sneaky Nyx Assassins,26.2792836436,2.28132959828
64,mousesports,29.541203795,1.17064242232
65,Click N Search,19.9840740935,6.22961541813
66,FnaticRaidCall,27.4275595845,2.7245079239
67,Newteam123123,24.5087374857,4.15532646234
68,Leviathan',20.6359084118,2.42483033753
69,London Conspiracy Dota2,25.7576251646,2.50080646482
70,Team Rocket322,19.5041547064,6.3293966415
71,Swagenteiger,20.9927408104,6.46526851051
72,MeetYourMakers.Dota2,17.1725507993,4.72525942942
73,Nel Goons,19.5158892327,6.3317202027
74,EternaLEnVy's disciples,34.2453574934,5.26013628954
75,Vici Gaming,30.7837889684,0.804500816082
76,CIS-Game,19.4038784698,5.88408021842
77,FnaticRC.North America,32.7319116226,5.98404349657
78,MVP HOTSIX,20.8233449162,6.63488636624
79,Fnatic,28.03044154,0.850254911076
80,Counter Logic Gaming,27.4710842532,3.36805213564
81,the wings gaming,24.2490978743,1.75120001209
82,[Flip.Sid3 Tactics],19.164799732,6.11891237061
83,EHOME.KEEN,25.8811951681,4.86165890708
84,EnemyGG,18.4519023217,5.66279015163
85,ILONKAFAN,17.3349830482,4.75789902615
86,Swageinteiger BR,19.6152529352,5.89812576923
87,Hyper Glory Team,27.2266802398,1.33766681178
88,mTw,19.4306246618,5.8997723061
89,TNC Pro Team,23.7955024409,1.82164016182
90,Potm Bottom,26.8500103788,4.46294026761
91,FTD Club b,25.2020863627,2.63779596248
92,FireDota,31.2036400678,3.81755738811
93,Team_eHug,21.4757726084,2.50199738314
94,Energy Pacemaker gaming,24.4804636277,2.19314935285
95,Team AD FINEM,21.105710123,6.66341996837
96,Stay - Free,27.1812523028,4.51105618029
97,Enterprise Gaming.,19.3839121384,5.83168293034
98,Dream Weavers Gaming,18.9111120532,5.74729781646
99,The GD B-Team,27.1424894842,4.56379729855
100,Zenith,19.4604611684,5.86756821576
101,G O L D E N B O Y S,24.0279453179,2.70258539227
