,0,1,2
0,Denial,17.0712644355,4.5820102817
1,Hao,20.5608614817,6.15592991925
2,Unknown,20.2831305215,3.6107666404
3,TTD 2,32.2937159055,6.04319509313
4,aL,31.1559844991,3.01295091979
5,NAR,26.4709599286,3.85776860923
6,BU,29.8561214247,2.5274584754
7,BG,30.5755346833,3.63344616807
8,Fnatic.EU,28.9029496082,1.18460475383
9,Fire,32.9977402568,3.86528838385
10,NoT,23.506404236,1.91620041674
11,Muhan,21.131127839,6.66471161004
12,SP,22.3520514121,7.00129122288
13,Kingdom,19.9204436314,5.97409045912
14,Quantic,27.5368424757,2.11346463376
15,ROOT 2,27.7099391119,2.27004173845
16,Redeem,26.7942798546,4.95871349319
17,Wh,22.7713469756,4.08041905015
18,CDEC.Y 2,29.1646747333,1.62054419671
19,MYM,19.8243696311,5.97973142408
20,Team Unknown,22.0272688254,3.63756772048
21,Team HGT,26.4224591261,1.41379528556
22,Denial 2,21.0655956402,6.64809125931
23,QPAD,19.5681287816,5.89017552506
24,MVP HOT6,26.5146809001,1.5659634284
25,BB 5,20.7314799925,6.19591804112
26,Flip sid3,17.4085397528,4.7973389889
27,GU,21.5012312322,6.76340909117
28,LvT,22.0737342154,2.37242294203
29,Old boys,15.0614948662,4.27570394384
30,EHOME,33.005705007,0.801021988999
31,Shz,32.643092242,6.00703685632
32,4FC,24.7605376106,2.81739921525
33,Shazam,21.3086412457,3.14911941568
34,123,22.7391339862,2.60693364697
35,GB,26.4210043104,2.38890266475
36,Arrow,29.2878702325,5.2334475117
37,mouz,30.9828343309,1.28980408399
38,IAP,17.6931495733,5.47291472664
39,Fnatic.MY,28.9783835632,0.836788968235
40,Alliance,31.4069543294,0.794317803245
41,SFZ,25.2781756506,2.41741072357
42,Rocket,19.6745651978,6.36595920298
43,SNA,23.4899712922,3.45376583457
44,zRage,19.5876123194,5.89374276684
45,5eva,17.7477504421,3.58565883566
46,3DMAX,25.9582528921,4.3311013293
47,OG,33.1868052745,0.809161524645
48,G Guard,21.6821186181,7.22695580991
49,Infamous 2,17.5083761058,4.96294654631
50,NiP 2,29.4961222393,1.05989455718
51,VG.P,24.1152496846,2.1198296909
52,Rave,24.0732670681,1.94466043931
53,Take Five,31.1458780452,2.6816038826
54,Boreal 2,23.5457181506,3.01153732718
55,RoX.KIS,27.1076524887,1.88078334864
56,TSpirit,29.4243684958,0.866362260374
57,FTD.A,19.0970110276,5.78004244611
58,Aurochs,21.0217973898,6.64191685939
59,EHUG,20.459822751,2.76072439538
60,snakes,18.0212295912,5.58777243915
61,NaVi,29.2424144704,0.875884396668
62,Way,18.9151787294,5.74040158357
63,First Departure,23.8804937188,1.8684837151
64,M5,28.3356299468,2.11180624298
65,Taring,19.3310285735,5.8318908031
66,coL 2,28.7597415095,0.843010208262
67,Pretty Boy,21.1226630329,6.66168441707
68,EED,33.7545537939,5.38053510335
69,iG.V,23.7426416975,2.47740676316
70,Invasion 3,16.8966662915,4.4982714005
71,PD 2,19.7271121199,5.92250686881
72,STEAK,22.1777501437,6.94692118115
73,Mischief,19.2397725725,5.81226704318
74,MFF,24.213102579,2.56334957578
75,DB 2,23.6888430339,3.67054169206
76,Speed.int,32.8290237343,2.55838970898
77,Archon 2,28.4169954631,2.22842633189
78,Fnatic.NA,28.21689048,3.6338591115
79,Try Hard,18.5980113228,5.39236523699
80,Keita,21.0637631474,6.64910913322
81,NLG,25.9451783305,2.01940786427
82,E.Wolves,25.9789722056,1.79375303265
83,EG,32.5911361789,0.798001747015
